movie_title,rating,genre,directors,tomatometer_rating,audience_rating
Meteor,PG,"Action & Adventure, Drama, Mystery & Suspense, Science Fiction & Fantasy",Ronald Neame,5,12
Approaching the Unknown,PG,"Drama, Mystery & Suspense, Science Fiction & Fantasy",Mark Elijah Rosenberg,43,14
Adventures of a Teenage Dragonslayer,PG,"Action & Adventure, Comedy, Kids & Family, Science Fiction & Fantasy, Television",Andrew Lauer,60,16
Deal of the Century,PG,Comedy,William Friedkin,11,17
Caddyshack II,PG,Comedy,Allan Arkush,4,18
Amityville: The Demon,PG,Horror,Richard Fleischer,5,19
Dragonball Evolution,PG,"Action & Adventure, Science Fiction & Fantasy",James Wong,15,20
The Adventures of Rocky & Bullwinkle,PG,"Comedy, Kids & Family, Science Fiction & Fantasy",Des McAnuff,44,20
The Basket,PG,Drama,Rich Cowan,44,21
Attack of the 50 Foot Woman,PG,"Classics, Science Fiction & Fantasy",Nathan Juran,75,21
Doogal,G,"Animation, Kids & Family, Science Fiction & Fantasy","Frank Passingham, Dave Borthwick, Jean Duval, Jean-Philippe Duval",8,22
Cops And Robbersons,PG,Comedy,Michael Ritchie,14,22
Chatham (The Golden Boys),PG,"Comedy, Romance",Daniel Adams,28,22
That Darn Cat,PG,"Action & Adventure, Art House & International, Comedy, Kids & Family",Bob Spiers,13,23
Dudley Do-Right,PG,"Comedy, Kids & Family",Hugh Wilson,16,23
City Heat,PG,"Action & Adventure, Comedy, Drama, Mystery & Suspense",Richard Benjamin,19,23
388 Arletta Avenue,PG,"Art House & International, Drama, Mystery & Suspense",Randall Cole,56,23
Baby Geniuses,PG,"Comedy, Drama, Kids & Family",Bob Clark,2,24
The Devil and Max Devlin,PG,"Comedy, Kids & Family, Science Fiction & Fantasy",Steven Hilliard Stern,18,24
Drunkboat,PG,Drama,Bob Meyer,23,24
Daisy Miller,G,"Classics, Drama, Romance",Peter Bogdanovich,100,24
Crocodile Dundee in Los Angeles,PG,"Action & Adventure, Comedy",Simon Wincer,11,25
Bug,PG,"Classics, Horror, Mystery & Suspense, Science Fiction & Fantasy",Jeannot Szwarc,29,25
Curse of the Pink Panther,PG,"Comedy, Mystery & Suspense",Blake Edwards,29,25
Delgo,PG,"Animation, Science Fiction & Fantasy","Jason Maurer, Marc F. Adler",12,26
Death Defying Acts,PG,"Drama, Mystery & Suspense, Romance",Gillian Armstrong,42,26
Dr. Dolittle 2,PG,"Comedy, Kids & Family",Steve Carr,42,26
Born Yesterday,PG,"Comedy, Romance",Luis Mandoki,25,27
Animals United (Konferenz der Tiere),PG,"Animation, Art House & International, Kids & Family","Reinhard Klooss, Holger Tappe",25,27
Cheerful Weather For The Wedding,PG,"Comedy, Drama",Donald Rice,37,27
"Ned Kelly (Ned Kelly, Outlaw)",PG,"Action & Adventure, Western",Tony Richardson,43,27
The Bad News Bears Go To Japan,PG,Comedy,John Berry,6,28
Dear God,PG,Comedy,Garry Marshall,12,28
Doug's 1st Movie,G,"Action & Adventure, Animation, Kids & Family, Special Interest",Maurice Joyce,26,28
Best Friends,PG,"Comedy, Drama",Norman Jewison,62,28
Lovesick,PG,"Comedy, Romance",Marshall Brickman,40,29
Grizzly,PG,"Horror, Mystery & Suspense",William Girdler,44,29
Deck the Halls,PG,Comedy,John Whitesell,6,30
The Honeymooners,PG,"Comedy, Drama, Television",John Schultz,13,30
Beethoven's 2nd,PG,"Action & Adventure, Comedy, Kids & Family",Rod Daniel,23,30
Clockstoppers,PG,"Action & Adventure, Comedy, Kids & Family, Science Fiction & Fantasy",Jonathan Frakes,29,30
Big Top Pee-wee,PG,Comedy,Randal Kleiser,35,30
Arthur 2: On the Rocks,PG,Comedy,Bud Yorkin,13,31
Agent Cody Banks 2: Destination London,PG,"Action & Adventure, Comedy, Kids & Family, Mystery & Suspense",Kevin Allen,14,31
Amelia,PG,Drama,"Stuart Dryburgh, Mira Nair",20,31
Buddy,PG,"Comedy, Drama, Kids & Family",Caroline Thompson,25,31
Alien Trespass,PG,"Comedy, Drama, Mystery & Suspense, Science Fiction & Fantasy",R.W. Goodwin,35,31
Battle For The Planet Of The Apes,G,"Action & Adventure, Classics, Science Fiction & Fantasy",J. Lee Thompson,37,31
Agent Cody Banks,PG,"Action & Adventure, Comedy, Kids & Family, Mystery & Suspense",Harald Zwart,39,31
The Phantom,PG,"Action & Adventure, Science Fiction & Fantasy",Simon Wincer,42,31
King Kong,PG,"Action & Adventure, Horror, Science Fiction & Fantasy",John Guillermin,53,31
Furry Vengeance,PG,"Comedy, Kids & Family",Roger Kumble,7,32
Cinderella II: Dreams Come True,G,"Animation, Kids & Family, Science Fiction & Fantasy",John Kafka,11,32
And Then Came Love,PG,Comedy,Richard Schenkman,17,32
Custer of the West,G,"Action & Adventure, Western","Robert Siodmak, Irving Lerner",25,32
The Country Bears,G,"Comedy, Kids & Family",Peter Hastings,30,32
102 Dalmatians,G,"Comedy, Kids & Family",Kevin Lima,31,32
Airport '77,PG,"Action & Adventure, Drama, Mystery & Suspense",Jerry Jameson,33,32
Bling,PG,"Animation, Kids & Family","Kyung Ho Lee, Wonjae Lee",33,32
Cats & Dogs,PG,"Action & Adventure, Comedy, Kids & Family, Romance",Lawrence Guterman,53,32
The Deadly Companions (Trigger Happy),PG,"Action & Adventure, Drama, Western",Sam Peckinpah,83,32
Man of the House,PG,"Comedy, Kids & Family",James Orr,14,33
Diary Of A Wimpy Kid: The Long Haul,PG,"Comedy, Kids & Family",David Bowers,18,33
Space Chimps,G,"Action & Adventure, Animation, Comedy, Kids & Family",Kirk De Micco,33,33
Invaders from Mars,PG,"Horror, Mystery & Suspense, Science Fiction & Fantasy",Tobe Hooper,36,33
The Convent (O Convento),PG,"Art House & International, Documentary, Drama, Mystery & Suspense",Manoel de Oliveira,38,33
The Killer Elite,PG,"Action & Adventure, Drama, Mystery & Suspense",Sam Peckinpah,46,33
Flipper,PG,"Action & Adventure, Kids & Family",Alan Shapiro,32,34
Around the World in 80 Days,PG,"Action & Adventure, Comedy, Kids & Family",Frank Coraci,32,34
Clifford's Really Big Movie,G,"Animation, Kids & Family",Robert Ramirez,53,34
The Bridge of San Luis Rey,PG,"Art House & International, Drama, Faith & Spirituality",Mary McGuckian,4,35
Blank Check,PG,"Comedy, Kids & Family",Rupert Wainwright,9,35
Confessions of a Teenage Drama Queen,PG,Comedy,Sara Sugarman,14,35
Cop & 1/2,PG,"Comedy, Kids & Family",Henry Winkler,14,35
Delhi Safari,PG,"Animation, Kids & Family",Nikhil Advani,14,35
At the Earth's Core,PG,"Action & Adventure, Art House & International, Cult Movies, Science Fiction & Fantasy",Kevin Connor,25,35
Casino Royale,G,"Action & Adventure, Classics, Comedy","Richard Talmadge, Kenneth Hughes, John Huston, Joseph McGrath, Robert Parrish, Val Guest, Ken Hughes",26,35
Beethoven,PG,"Comedy, Kids & Family, Special Interest",Brian Levant,33,35
Cocoon: The Return,PG,"Comedy, Drama, Science Fiction & Fantasy",Daniel Petrie Sr.,33,35
Earthquake,PG,"Action & Adventure, Drama, Mystery & Suspense",Mark Robson,38,35
Julius Caesar,G,"Action & Adventure, Art House & International, Classics, Drama",Stuart Burge,40,35
Dragonheart - A New Beginning,PG,"Action & Adventure, Science Fiction & Fantasy",Doug Lefler,40,35
Damnation Alley,PG,"Action & Adventure, Drama, Science Fiction & Fantasy",Jack Smight,44,35
Infinity,PG,"Drama, Romance",Matthew Broderick,62,35
Helen,PG,Drama,"Christine Molloy, Joe Lawlor (II)",65,35
Fame,PG,"Drama, Musical & Performing Arts, Romance",Kevin Tancharoen,24,36
Prophecy,PG,"Horror, Science Fiction & Fantasy",John Frankenheimer,29,36
The Muppets' Wizard of Oz,PG,"Kids & Family, Musical & Performing Arts",Kirk R. Thatcher,38,36
Antboy,PG,Action & Adventure,Ask Hasselbalch,43,36
Closing Escrow,PG,Comedy,"Armen Kaprelian, Kent G. Llewellyn, Kent Llewellyn",54,36
Africa Screams,G,"Action & Adventure, Classics, Comedy",Charles Barton,60,36
McHale's Navy,PG,"Action & Adventure, Comedy",Bryan Spicer,3,37
Christmas With the Kranks,PG,"Comedy, Kids & Family",Joe Roth,5,37
The Hindenburg,PG,"Action & Adventure, Drama, Mystery & Suspense","Robert Wise, John A. Bolger, Jr.",33,37
Coneheads,PG,"Comedy, Science Fiction & Fantasy",Steve Barron,35,37
Jack and the Beanstalk,G,"Classics, Comedy, Kids & Family, Musical & Performing Arts, Science Fiction & Fantasy",Jean Yarbrough,43,37
The Deep,PG,"Action & Adventure, Horror, Mystery & Suspense",Peter Yates,44,37
The Babe,PG,Drama,Arthur Hiller,46,37
Daddy Day Camp,PG,Comedy,Fred Savage,1,38
Can't Stop the Music,PG,"Cult Movies, Musical & Performing Arts",Nancy Walker,7,38
Crocodile Dundee II,PG,"Action & Adventure, Comedy",John Cornell,11,38
Baby: Secret of the Lost Legend,PG,"Action & Adventure, Drama, Kids & Family, Science Fiction & Fantasy",Bill Norton,13,38
Cats & Dogs: The Revenge of Kitty Galore,PG,"Action & Adventure, Comedy, Kids & Family",Brad Peyton,13,38
Air Bud 2 - Golden Receiver,G,"Comedy, Kids & Family",Richard Martin,21,38
Better Living Through Chemistry,G,"Comedy, Drama","David Posamentier, Geoff Moore",22,38
Conan the Destroyer,PG,Action & Adventure,Richard Fleischer,26,38
Airport 1975,PG,"Action & Adventure, Drama, Mystery & Suspense",Jack Smight,27,38
Dennis the Menace,PG,"Comedy, Kids & Family",Nick Castle Jr.,27,38
Scooby-Doo,PG,"Comedy, Kids & Family",Raja Gosnell,30,38
Beneath The Planet Of The Apes,G,"Action & Adventure, Science Fiction & Fantasy",Ted Post,38,38
Igor,PG,"Animation, Comedy, Kids & Family","Anthony Leondis, Tony Leondis",38,38
Animal Farm,PG,"Comedy, Drama, Kids & Family, Television",John Stephenson,40,38
"Easy Come, Easy Go",PG,"Classics, Comedy, Musical & Performing Arts",John Rich,43,38
Air Bud,PG,"Comedy, Kids & Family",Charles Martin Smith,45,38
Randy and the Mob,PG,"Comedy, Documentary",Ray McKinnon,56,38
Popeye,PG,"Action & Adventure, Comedy, Kids & Family, Musical & Performing Arts",Robert Altman,60,38
Bluebeard,G,"Classics, Drama, Horror, Mystery & Suspense",Edgar G. Ulmer,100,38
Carpool,PG,Comedy,Arthur Hiller,13,39
Church Ball,PG,"Comedy, Drama, Faith & Spirituality, Sports & Fitness",Kurt Hale,18,39
Star Wars: The Clone Wars,PG,"Action & Adventure, Animation, Science Fiction & Fantasy",Dave Filoni,18,39
All Dogs Go To Heaven 2,G,"Animation, Kids & Family","Larry Leker, Paul Sabella",20,39
G-Force,PG,"Action & Adventure, Comedy, Kids & Family, Science Fiction & Fantasy","Hoyt Yeatman, Hoyt Yeatman IV",22,39
Ethan Frome,PG,Drama,John Madden,55,39
Dunston Checks In,PG,"Comedy, Kids & Family",Ken Kwapis,12,40
The King and I,G,"Animation, Kids & Family, Musical & Performing Arts",Richard Rich,13,40
Chasing Papi,PG,Comedy,Linda Mendoza,14,40
3 Ninjas Kick Back,PG,"Action & Adventure, Comedy, Kids & Family",Charles T. Kanganis,15,40
Jack Frost,PG,"Comedy, Drama, Kids & Family, Science Fiction & Fantasy",Troy Miller,19,40
Dracula A.D. 1972,PG,"Classics, Horror",Alan Gibson,22,40
101 Dalmatians,G,"Action & Adventure, Comedy, Kids & Family",Stephen Herek,42,40
Children Shouldn't Play with Dead Things,PG,"Comedy, Drama, Horror, Mystery & Suspense","Benjamin Clark, Bob Clark",42,40
Good Boy!,PG,"Comedy, Kids & Family","John Robert Hoffman, John Hoffman",44,40
Delirious,PG,"Comedy, Science Fiction & Fantasy",Tom Mankiewicz,44,40
The Bad News Bears in Breaking Training,PG,"Comedy, Kids & Family",Michael Pressman,50,40
Mighty Joe Young,PG,"Action & Adventure, Drama, Kids & Family",Ron Underwood,55,40
The Island of Dr. Moreau,PG,"Action & Adventure, Horror, Mystery & Suspense, Science Fiction & Fantasy",Don Taylor,56,40
Babe: Pig in the City,G,"Comedy, Kids & Family, Science Fiction & Fantasy",George Miller,64,40
Alpha and Omega,PG,"Action & Adventure, Animation, Comedy, Kids & Family","Anthony Bell, Ben Gluck, Benjamin Gluck",16,41
The Tooth Fairy,PG,"Comedy, Kids & Family, Science Fiction & Fantasy",Michael Lembeck,18,41
The Amazing Panda Adventure,PG,"Action & Adventure, Kids & Family",Christopher Cain,20,41
I'll Be Home for Christmas,PG,"Comedy, Kids & Family",Arlene Sanford,23,41
Imagine That,PG,Comedy,Karey Kirkpatrick,41,41
Vice Versa,PG,"Comedy, Kids & Family, Science Fiction & Fantasy",Brian Gilbert,43,41
Battle For Terra,PG,"Action & Adventure, Animation, Science Fiction & Fantasy",Aristomenis Tsirbas,49,41
The Computer Wore Tennis Shoes,G,"Classics, Comedy, Kids & Family, Science Fiction & Fantasy",Robert Butler,50,41
George of the Jungle,PG,"Action & Adventure, Comedy, Kids & Family",Sam Weisman,57,41
101 Dalmatians II: Patch's London Adventure,G,"Animation, Kids & Family, Musical & Performing Arts","Jim Kammerud, Brian Smith",67,41
Barney's Great Adventure,G,Kids & Family,Steve Gomer,26,42
Breakout,PG,Action & Adventure,Tom Gries,33,42
Ernest Saves Christmas,PG,"Comedy, Kids & Family","John R. Cherry III, John Cherry",36,42
The Main Event,PG,"Comedy, Special Interest, Romance",Howard Zieff,40,42
Battle Beyond the Stars,PG,Science Fiction & Fantasy,Jimmy T. Murakami,45,42
Chasing Madoff,G,"Documentary, Special Interest",Jeff Prosserman,46,42
The Ant Bully,PG,"Animation, Comedy, Drama, Kids & Family",John A. Davis,62,42
Earth Girls Are Easy,PG,"Comedy, Musical & Performing Arts, Science Fiction & Fantasy",Julien Temple,67,42
Dead Hooker in a Trunk,PG,"Action & Adventure, Art House & International, Documentary, Horror","Jen Soska, Sylvia Soska",80,42
Are We Done Yet?,PG,Comedy,Steve Carr,8,43
Ernest Rides Again,PG,"Comedy, Kids & Family","John R. Cherry III, Patrice Leung",14,43
Attack of the Killer Tomatoes!,PG,"Comedy, Horror, Science Fiction & Fantasy",John De Bello,27,43
Dr. Goldfoot and the Bikini Machine,G,"Action & Adventure, Classics, Comedy, Cult Movies, Science Fiction & Fantasy",Norman Taurog,29,43
Aliens in the Attic,PG,"Action & Adventure, Kids & Family, Science Fiction & Fantasy",John Schultz,32,43
Bonneville,PG,"Comedy, Drama","Christopher Rowley, Christopher N. Rowley",40,43
Beach Party,G,"Classics, Comedy, Drama, Musical & Performing Arts, Romance",William Asher,43,43
Blacula,PG,"Action & Adventure, Classics, Horror","William Crain, William Cain",48,43
Audrey Rose,PG,"Drama, Horror, Mystery & Suspense",Robert Wise,50,43
Corvette Summer,PG,"Action & Adventure, Comedy, Drama",Matthew Robbins,50,43
Moonraker,PG,"Action & Adventure, Mystery & Suspense, Science Fiction & Fantasy",Lewis Gilbert,61,43
Madeline,PG,"Comedy, Kids & Family","Daisy von Scherler Mayer, Daisy Mayer",63,43
Blinky Bill The Movie,PG,"Action & Adventure, Animation, Art House & International","Deane Taylor, Noel Cleary, Alexs Stadermann",73,43
Old Dogs,PG,"Comedy, Drama, Kids & Family","Walt Becker, Walter Becker",5,44
Cool as Ice,PG,"Action & Adventure, Comedy, Drama, Musical & Performing Arts, Romance",David Kellogg,7,44
Alaska,PG,"Action & Adventure, Kids & Family",Fraser C. Heston,18,44
The Beautician and the Beast,PG,"Comedy, Romance",Ken Kwapis,18,44
Everyone's Hero,G,"Action & Adventure, Animation, Comedy, Kids & Family","Christopher Reeve, Dan St. Pierre, Colin Brady, Daniel St. Pierre",42,44
Big Fat Liar,PG,"Comedy, Kids & Family",Shawn Levy,43,44
Billu,PG,"Art House & International, Comedy",Priyadarshan,60,44
The Disappeared,PG,"Art House & International, Drama, Horror, Mystery & Suspense",Johnny Kevorkian,64,44
Anzio (Lo sbarco di Anzio),PG,"Action & Adventure, Art House & International, Classics, Drama","Duilio Coletti, Edward Dmytryk",67,44
The Asphyx,PG,"Classics, Horror, Science Fiction & Fantasy",Peter Newbrook,67,44
Life is a Bed of Roses,PG,"Art House & International, Comedy, Drama",Alain Resnais,75,44
House Arrest,PG,"Comedy, Kids & Family",Harry Winer,10,45
Are We There Yet?,PG,"Action & Adventure, Comedy, Kids & Family, Romance",Brian Levant,12,45
Fred Claus,PG,Comedy,David Dobkin,20,45
Any Which Way You Can,PG,"Action & Adventure, Comedy",Buddy Van Horn,20,45
D3: The Mighty Ducks,PG,"Comedy, Kids & Family",Robert H. Lieberman,20,45
Bobby Deerfield,PG,"Drama, Romance",Sydney Pollack,31,45
Michael,PG,"Comedy, Science Fiction & Fantasy",Nora Ephron,38,45
The Black Hole,PG,"Action & Adventure, Kids & Family, Science Fiction & Fantasy",Gary Nelson,40,45
Bogus,PG,Comedy,Norman Jewison,44,45
California Suite,PG,"Comedy, Romance",Herbert Ross,57,45
The Big Picture,PG,"Comedy, Drama",Christopher Guest,91,45
Bratz: The Movie,PG,"Comedy, Kids & Family",Sean McNamara,9,46
Cannonball Run II,PG,"Action & Adventure, Comedy",Hal Needham,13,46
18 Again!,PG,Comedy,Paul Flaherty,29,46
"Connected: An Autoblogography About Love, Death & Technology",PG,"Documentary, Special Interest",Tiffany Shlain,36,46
Saawariya,PG,"Art House & International, Drama, Musical & Performing Arts, Romance",Sanjay Leela Bhansali,38,46
Conquest Of The Planet Of The Apes,PG,"Action & Adventure, Classics, Science Fiction & Fantasy",J. Lee Thompson,48,46
City of Ember,PG,"Action & Adventure, Kids & Family, Science Fiction & Fantasy",Gil Kenan,53,46
Apache,G,"Classics, Western",Robert Aldrich,78,46
Captain Kidd,G,"Action & Adventure, Classics, Drama",Rowland V. Lee,100,46
Catch That Kid,PG,"Action & Adventure, Kids & Family",Bart Freundlich,13,47
Eragon,PG,"Action & Adventure, Drama, Science Fiction & Fantasy",Stefen Fangmeier,16,47
Christmas Carol - The Movie,PG,"Animation, Kids & Family",Jimmy T. Murakami,17,47
A Plumm Summer,PG,"Action & Adventure, Comedy, Kids & Family, Television",Caroline Zelder,20,47
Chicken Little,G,"Action & Adventure, Animation, Comedy, Kids & Family",Mark Dindal,37,47
The Great Gatsby,PG,"Classics, Drama, Romance",Jack Clayton,39,47
A Turtle's Tale: Sammy's Adventures,PG,"Action & Adventure, Animation, Kids & Family",Ben Stassen,44,47
The Three Stooges,PG,Comedy,"Bobby Farrelly, Peter Farrelly",51,47
Earth to Echo,PG,Action & Adventure,Dave Green,51,47
Asylum,PG,"Documentary, Horror, Mystery & Suspense, Science Fiction & Fantasy, Special Interest, Romance",Roy Ward Baker,64,47
The Baby-Sitters Club,PG,"Comedy, Kids & Family",Melanie Mayron,67,47
Bronco Billy,PG,Comedy,Clint Eastwood,75,47
Ernest Goes to Jail,PG,"Comedy, Kids & Family","John Cherry, John R. Cherry III",13,48
August,PG,"Comedy, Drama, Romance",Anthony Hopkins,14,48
Daddy Day Care,PG,"Comedy, Kids & Family",Steve Carr,27,48
Alice Through the Looking Glass,PG,"Action & Adventure, Kids & Family, Science Fiction & Fantasy",James Bobin,29,48
Almost an Angel,PG,"Comedy, Science Fiction & Fantasy",John Cornell,29,48
1941,PG,"Action & Adventure, Comedy",Steven Spielberg,39,48
The Black Cauldron,PG,"Action & Adventure, Animation, Kids & Family, Science Fiction & Fantasy","Ted Berman, Richard Rich",55,48
An Extremely Goofy Movie,G,"Animation, Comedy, Kids & Family",,63,48
Dinosaur,PG,"Action & Adventure, Animation, Kids & Family","Ralph Zondag, Eric Leighton",64,48
The Shaggy Dog,G,"Classics, Comedy, Kids & Family, Science Fiction & Fantasy",Charles Barton,67,48
Alvin and the Chipmunks: The Squeakquel,PG,"Animation, Comedy, Kids & Family",Betty Thomas,20,49
Confessions of a Shopaholic,PG,"Comedy, Drama",P.J. Hogan,25,49
As You Like It,PG,"Comedy, Drama, Romance",Kenneth Branagh,36,49
Cars 2,G,"Action & Adventure, Animation, Comedy, Kids & Family","John Lasseter, Brad Lewis",39,49
Flipper,G,"Action & Adventure, Classics, Drama, Kids & Family, Television",James B. Clark,40,49
Casper,PG,"Drama, Kids & Family, Science Fiction & Fantasy",Brad Silberling,46,49
Diary of a Wimpy Kid,PG,"Comedy, Kids & Family",Thor Freudenthal,52,49
The Astronaut Farmer,PG,Drama,Michael Polish,58,49
"Buffalo Bill and the Indians, or Sitting Bull's History Lesson",PG,"Classics, Comedy, Western",Robert Altman,67,49
Against The Sun,PG,"Action & Adventure, Drama","Brian Falk, Brian Peter Falk",70,49
The Great Buck Howard,PG,"Comedy, Drama",Sean McGinly,71,49
Early Man,PG,"Animation, Comedy, Kids & Family",Nick Park,81,49
The Barefoot Executive,G,"Classics, Comedy, Kids & Family, Television",Robert Butler,83,49
College Road Trip,G,Comedy,Roger Kumble,12,50
Curly Sue,PG,"Comedy, Kids & Family",John Hughes,13,50
Ernest Scared Stupid,PG,"Comedy, Kids & Family, Science Fiction & Fantasy","John Cherry, John R. Cherry III",17,50
Airplane 2 - The Sequel,PG,Comedy,Ken Finkleman,42,50
Dumbo,PG,"Animation, Kids & Family, Science Fiction & Fantasy",Tim Burton,47,50
The Hunter,PG,"Action & Adventure, Drama, Mystery & Suspense, Television",Buzz Kulik,50,50
Astro Boy (AstroBoy),PG,"Action & Adventure, Animation, Kids & Family, Science Fiction & Fantasy",David Bowers,50,50
Endurance,PG,"Documentary, Drama","Leslie Woodhead, Bud Greenspan",50,50
The Drowning Pool,PG,"Classics, Drama, Mystery & Suspense",Stuart Rosenberg,53,50
Funny Farm,PG,Comedy,George Roy Hill,65,50
The Miracle,PG,Drama,Neil Jordan,67,50
The Adventures of Huck Finn,PG,"Action & Adventure, Drama, Kids & Family",Stephen Sommers,73,50
An Inconvenient Sequel: Truth To Power,PG,Documentary,"Jon Shenk, Bonni Cohen",79,50
Three Blind Mice,PG,"Comedy, Drama",Matthew Newton,80,50
Aliens of the Deep,G,"Documentary, Special Interest","James Cameron, Steven Quale",84,50
The Bigamist,PG,"Classics, Drama",Ida Lupino,86,50
Alvin and the Chipmunks: Chipwrecked,G,"Animation, Comedy, Kids & Family",Mike Mitchell,11,51
